timestamp,latency,status_code,cluster,version,error
2026-03-29T16:55:04.131581,419.0084934234619,200,cluster-new,v1.0.0,
2026-03-29T16:55:04.750861,416.54276847839355,200,cluster-new,v1.0.0,
2026-03-29T16:55:05.367671,420.03607749938965,200,cluster-new,v1.0.0,
2026-03-29T16:55:05.987969,422.1210479736328,200,cluster-new,v1.0.0,
2026-03-29T16:55:06.610356,425.85015296936035,200,cluster-new,v1.0.0,
2026-03-29T16:55:07.236466,416.20683670043945,200,cluster-new,v1.0.0,
2026-03-29T16:55:07.852948,420.73822021484375,200,cluster-new,v1.0.0,
2026-03-29T16:55:08.473981,420.8824634552002,200,cluster-new,v1.0.0,
2026-03-29T16:55:09.095125,420.57204246520996,200,cluster-new,v1.0.0,
2026-03-29T16:55:09.715961,417.6466464996338,200,cluster-new,v1.0.0,
2026-03-29T16:55:10.333884,414.9181842803955,200,cluster-new,v1.0.0,
2026-03-29T16:55:10.948929,424.01838302612305,200,cluster-new,v1.0.0,
2026-03-29T16:55:11.573211,419.74496841430664,200,cluster-new,v1.0.0,
2026-03-29T16:55:12.193226,414.9491786956787,200,cluster-new,v1.0.0,
2026-03-29T16:55:12.808440,416.05067253112793,200,cluster-new,v1.0.0,
2026-03-29T16:55:13.424762,416.7966842651367,200,cluster-new,v1.0.0,
2026-03-29T16:55:14.041824,418.92504692077637,200,cluster-new,v1.0.0,
